"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEMODEL";"SPICEPREFIX";
"R3";"240";"R";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R4";"390";"R";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R5";"10k";"R";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R6";"10k";"R";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R7";"10k";"R";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R8";"10k";"R";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R9";"10k";"R";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R10";"10k";"R";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"R";
"R11";"27";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"R12";"27";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"SCLK/SCL";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SDA/MOSI";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM11";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM12";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM13";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM14";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM21";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM22";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM23";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM24";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM31";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM32";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM33";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM34";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM41";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM42";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM43";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM44";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM51";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM52";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM53";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM54";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM61";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM62";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM63";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"SM64";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
